%Source: http://www.sablesys.com/baro-altitude.html
%
%Altitude Above Sea Level	 Temperature	 Barometer	 Atmospheric Pressure
%Meters	 C	 kPa
10	 15	 101.33
153	 14	 99.49
305	 13	 97.63
458	 12	 95.91
610	 11	 94.19
763	 10	 92.46
915	 9	 90.81
1068	 8	 89.15
1220	 7	 87.49
1373	 6	 85.91
1526	 5	 84.33
1831	 3	 81.22
2136	 1	 78.19
2441	 -1	 75.22
2746	 -3	 72.40
3050	 -5	 69.64
4577	 -14	 57.16
6102	 -24	 46.61
7628	 -34	 37.65
9153	 -44	 30.13
10679	 -54	 23.93
12204	 -57	 18.82
13730	 -57	 14.82
15255	 -57	 11.65
16781	 -57	 9.17
18306	 -57	 7.24
21357	 -55	 4.49
24408	 -52	 2.80
27459	 -49	 1.76
30510	 -46	 1.12
